107-06-09    11:13                                            Page      1.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  OR155D1  PKGE     32296  69.26%  75.65% 26:56.026552 10:39.344306   39062889
 _  NM100D1  PKGE    958335   5.34%   5.40% 02:04.713092 00:45.715637     938498
 _  OR529D2  PKGE    101217   1.19%   1.11% 00:27.916113 00:09.389415     320191
 _  TA168D1  PKGE      8388   1.02%    .99% 00:23.877077 00:08.396524     147952
 _  TA191D2  PKGE     42600    .73%    .73% 00:17.126954 00:06.185504     145553
 _  TA120D2  PKGE     50151   1.03%    .73% 00:24.163014 00:06.176968     259378
 _  TA095D1  PKGE    100601    .51%    .46% 00:11.936416 00:03.939514      73632
 _  OR509D1  PKGE     67768    .52%    .45% 00:12.336837 00:03.813068      66588
 _  TA122D1  PKGE     58062    .49%    .42% 00:11.490591 00:03.588920      43421
 _  GD538D3  PKGE       131    .48%    .41% 00:11.338146 00:03.500673      34908
 _  TA377D1  PKGE     13098    .41%    .39% 00:09.574950 00:03.335295      57269
 _  PP23A    PKGE       434    .50%    .37% 00:11.774395 00:03.145262      47892
 _  OR529D1  PKGE     14318    .54%    .34% 00:12.676328 00:02.875398     112542
 _  EEDATAS  PKGE     28060    .30%    .32% 00:07.123312 00:02.745009      19434
 _  EN500D1  PKGE     97042    .51%    .30% 00:12.015566 00:02.599510      52305
 _  OR537D1  PKGE     20809    .41%    .30% 00:09.632876 00:02.591017     152042
 _  AL040D1  PKGE     16716    .28%    .30% 00:06.616250 00:02.549278      53837
 _  TA112D1  PKGE     65313    .25%    .28% 00:05.864066 00:02.416027      23495
 _  TA108D1  PKGE      6515    .25%    .25% 00:06.016907 00:02.167090      47492
 _  OR531D1  PKGE     15004    .77%    .24% 00:18.157095 00:02.107009      93400
 _  TA095D3  PKGE     32960    .18%    .21% 00:04.338502 00:01.854315      55486
 _  TA121D1  PKGE     27960    .27%    .21% 00:06.516295 00:01.791399      38800
 _  AL050D2  PKGE     16824    .18%    .20% 00:04.428650 00:01.770712      32238
 _  TA103D1  PKGE     35436    .23%    .20% 00:05.480620 00:01.732461      34626
 _  SNST018L PKGE       385    .24%    .19% 00:05.810005 00:01.661566      51502
 _  AC100A   PKGE     10880    .16%    .18% 00:03.767771 00:01.577254      53700
 _  TA316D2  PKGE     10969    .19%    .18% 00:04.522134 00:01.546047      20894
 _  TA095D2  PKGE     58579    .16%    .17% 00:03.842048 00:01.495247       8040
 _  TA378D1  PKGE     43722    .20%    .16% 00:04.703017 00:01.424504       9410
 _  NM020D1  PKGE     39769    .26%    .16% 00:06.124334 00:01.420831       5324
 _  TA271D2  PKGE     18944    .15%    .16% 00:03.620508 00:01.417819      41542
 _  TA258R1  PKGE        54    .24%    .15% 00:05.699185 00:01.344186      28366
 _  TA273D2  PKGE     28308    .12%    .15% 00:02.981040 00:01.341631       9452
 _  OR530D1  PKGE     31882    .28%    .15% 00:06.641426 00:01.329891      43052
 _  MK005R1  PKGE      1611    .46%    .15% 00:10.770968 00:01.316730      54657
 _  NM030D1  PKGE     50854    .13%    .14% 00:03.208930 00:01.255991       3665
 _  TA095D4  PKGE     38402    .13%    .14% 00:03.141497 00:01.255927       6684
 _  AL221D1  PKGE     36909    .11%    .14% 00:02.744945 00:01.241894      17392
 _  TA146R3  PKGE     80517    .14%    .13% 00:03.440455 00:01.170370       1755
 _  TA147R3  PKGE     80517    .11%    .13% 00:02.780834 00:01.154862       1755
 _  AC002R1  PKGE      2707    .11%    .13% 00:02.595492 00:01.126570      23110
 _  TA099D1  PKGE     16692    .22%    .12% 00:05.223586 00:01.067391      16698
 _  TA288D2  PKGE      6152    .22%    .12% 00:05.232145 00:01.051533      25147
 _  OR523D1  PKGE      8729    .19%    .11% 00:04.548740 00:01.001769      20997
 _  OR507D1  PKGE     41742    .13%    .11% 00:03.168687 00:00.977631       8958
 _  AE500D2  PKGE     11107    .10%    .11% 00:02.481516 00:00.967271      26708
 _  NM010D1  PKGE     28253    .08%    .10% 00:01.905726 00:00.928834       2382
 _  TA267D2  PKGE      5279    .10%    .10% 00:02.537254 00:00.911162      14566
 _  TA270D2  PKGE      1262    .13%    .10% 00:03.037992 00:00.854974      11734
 _  TA305D5  PKGE     10934    .11%    .10% 00:02.650930 00:00.852434      27100
 _  TA375D1  PKGE     53690    .08%    .09% 00:01.961100 00:00.817770        723
 _  OR537D2  PKGE     29280    .13%    .09% 00:03.220960 00:00.790884      13292
107-06-09    11:13                                            Page      2.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  AE500D1  PKGE      7156    .09%    .09% 00:02.148976 00:00.778482      24574
 _  OR529D3  PKGE      3008    .10%    .08% 00:02.350408 00:00.729210      27745
 _  TA173D2  PKGE      3444    .05%    .08% 00:01.291631 00:00.696764      16566
 _  OR500D1  PKGE      8710    .05%    .07% 00:01.290006 00:00.658373      13216
 _  OR521D1  PKGE      6519    .18%    .07% 00:04.355611 00:00.651750      14456
 _  TA013D1  PKGE      6591    .05%    .07% 00:01.377087 00:00.640817      17606
 _  OR523D2  PKGE      5295    .06%    .07% 00:01.596878 00:00.636650      16244
 _  OR545D1  PKGE      8967    .08%    .07% 00:02.009596 00:00.632814      15117
 _  PE524D1  PKGE     10260    .14%    .07% 00:03.483063 00:00.621933       6522
 _  TA093D1  PKGE     12120    .06%    .07% 00:01.624388 00:00.613534       9528
 _  OR536D2  PKGE     26014    .08%    .07% 00:01.933922 00:00.599484       9097
 _  PR500D1  PKGE      8995    .12%    .07% 00:02.871144 00:00.596502      12707
 _  AE501D1  PKGE      5447    .11%    .06% 00:02.674190 00:00.570185      20708
 _  TA192D2  PKGE     15133    .06%    .06% 00:01.564763 00:00.558771       1970
 _  OR516D1  PKGE     12841    .08%    .06% 00:01.959335 00:00.523219       7066
 _  TA305D2  PKGE      2071    .07%    .06% 00:01.647542 00:00.514426      11843
 _  AU52A    PKGE       167    .09%    .05% 00:02.291971 00:00.504872      12631
 _  AL010D2  PKGE      3228    .03%    .05% 00:00.846096 00:00.489804      18226
 _  PE525D1  PKGE      7641    .12%    .05% 00:02.971927 00:00.473986       9850
 _  OR527D1  PKGE      4170    .06%    .05% 00:01.457825 00:00.473553      20715
 _  AL010D1  PKGE      2661    .03%    .05% 00:00.701945 00:00.467905      19920
 _  NM060D1  PKGE      8171    .06%    .05% 00:01.442851 00:00.466717       9127
 _  OR526D1  PKGE      2994    .07%    .05% 00:01.689590 00:00.445404      11816
 _  OR562D2  PKGE     14259    .06%    .05% 00:01.614436 00:00.438117       4990
 _  OR533D1  PKGE      4156    .06%    .05% 00:01.480581 00:00.433237      17967
 _  AL515D1  PKGE      3167    .09%    .05% 00:02.198024 00:00.432595      11799
 _  DB2EXIT1 PKGE         4    .31%    .05% 00:07.289326 00:00.429243      36700
 _  BM500D1  PKGE      6348    .30%    .04% 00:07.049184 00:00.419188       7222
 _  AL510D1  PKGE      5827    .05%    .04% 00:01.381219 00:00.417406       7651
 _  PR505D1  PKGE      2958    .15%    .04% 00:03.621174 00:00.416175       8818
 _  TA302D1  PKGE      6633    .02%    .04% 00:00.533063 00:00.396088       5845
 _  OR513D2  PKGE     18874    .03%    .04% 00:00.867080 00:00.394069       3231
 _  OR503D1  PKGE      5127    .09%    .04% 00:02.187923 00:00.393601       9333
 _  TA094D1  PKGE      7329    .03%    .04% 00:00.733837 00:00.385514       7854
 _  OR517D1  PKGE      7179    .04%    .04% 00:01.135440 00:00.373997       4956
 _  OR542D2  PKGE     10873    .04%    .04% 00:01.063693 00:00.372305       3360
 _  OR525D2  PKGE      3902    .05%    .04% 00:01.286269 00:00.364120       5679
 _  OR518D2  PKGE      9655    .06%    .03% 00:01.522950 00:00.329302       3913
 _  OR502D1  PKGE      3305    .03%    .03% 00:00.902851 00:00.320722       7672
 _  TA237D2  PKGE      2841    .03%    .03% 00:00.796987 00:00.315475       7225
 _  TA292D2  PKGE     13993    .03%    .03% 00:00.919873 00:00.308941       6465
 _  OR524D2  PKGE      5564    .03%    .03% 00:00.911476 00:00.306160       3023
 _  OR505D1  PKGE      3775    .04%    .03% 00:00.996291 00:00.304128       7150
 _  TA301D1  PKGE      7347    .03%    .03% 00:00.826361 00:00.301950       3085
 _  TA112R1  PKGE      1037    .04%    .03% 00:00.959653 00:00.301097       9711
 _  TA025R3  PKGE      6540    .01%    .03% 00:00.365549 00:00.296050       5613
 _  TA372D1  PKGE      6465    .04%    .03% 00:01.135737 00:00.290715       4676
 _  TA119D1  PKGE      3705    .04%    .03% 00:01.060058 00:00.288911       5612
 _  EEGE007R PKGE      1677    .05%    .03% 00:01.211089 00:00.278079       7690
 _  OR530D2  PKGE      7711    .05%    .03% 00:01.256734 00:00.277725       5422
 _  TA129D1  PKGE      1740    .19%    .03% 00:04.532917 00:00.274089       5359
 _  AL513D1  PKGE      1723    .05%    .03% 00:01.206306 00:00.273453       8321
107-06-09    11:13                                            Page      3.1     
0   PROGRAM  TYPE SQL       TIMEPCT CPUPCT  INDB2_TIME   INDB2_CPU    GETPAGE   
    -------- ---- --------- ------- ------- ------------ ------------ ----------
 _  AC004R1  PKGE      1365    .02%    .03% 00:00.631317 00:00.269798       6256
 _  TA170D1  PKGE      1611    .04%    .03% 00:01.100976 00:00.263143       4833
 _  OR532D1  PKGE      1718    .05%    .03% 00:01.215318 00:00.260378       9186
 _  TA171D2  PKGE      4110    .03%    .03% 00:00.749120 00:00.259455       3702
 _  TA103D2  PKGE      2360    .04%    .03% 00:01.102780 00:00.258097       6030
 _  OR522D2  PKGE      5182    .03%    .02% 00:00.811935 00:00.252060       3947
 _  TA149R3  PKGE      4272    .01%    .02% 00:00.333356 00:00.249908       3756
 _  TA106D1  PKGE      2541    .03%    .02% 00:00.736862 00:00.245231       3217
